product,category,gross_order,listing_fee,transaction_fee,processing_fee,offsite_ads_fee_expected,regulatory_fee,etsy_fees_total,etsy_take_rate_pct,cogs,ship_cost,contribution_per_order,contribution_after_returns,contribution_margin_pct,labour_min,scenario
Digital download – Ayatul Kursi printable set,digital,6.5,0.2,0.42,0.45,0.0,0.0,1.07,16.4,0.0,0.0,5.43,5.38,82.7,0.0,no_offsite
Digital download – Ayatul Kursi printable set,digital,6.5,0.2,0.42,0.45,0.97,0.0,2.04,31.4,0.0,0.0,4.46,4.41,67.9,0.0,offsite_15pct_small_shop
Digital download – Ayatul Kursi printable set,digital,6.5,0.2,0.42,0.45,0.78,0.0,1.85,28.4,0.0,0.0,4.65,4.61,70.9,0.0,offsite_12pct_large_shop
Digital download – Ayatul Kursi printable set,digital,6.5,0.2,0.42,0.45,0.16,0.0,1.22,18.8,0.0,0.0,5.28,5.22,80.4,0.0,blended_20pct_orders_offsite
Digital download – Ramadan decor bundle,digital,12.0,0.2,0.78,0.61,0.0,0.0,1.59,13.2,0.0,0.0,10.41,10.31,85.9,0.0,no_offsite
Digital download – Ramadan decor bundle,digital,12.0,0.2,0.78,0.61,1.8,0.0,3.39,28.2,0.0,0.0,8.61,8.52,71.0,0.0,offsite_15pct_small_shop
Digital download – Ramadan decor bundle,digital,12.0,0.2,0.78,0.61,1.44,0.0,3.03,25.2,0.0,0.0,8.97,8.88,74.0,0.0,offsite_12pct_large_shop
Digital download – Ramadan decor bundle,digital,12.0,0.2,0.78,0.61,0.29,0.0,1.88,15.6,0.0,0.0,10.12,10.02,83.5,0.0,blended_20pct_orders_offsite
POD matte poster 12x16 (Printify avg),pod_print,30.0,0.2,1.95,1.15,0.0,0.0,3.3,11.0,7.5,5.5,13.7,12.9,43.0,3,no_offsite
POD matte poster 12x16 (Printify avg),pod_print,30.0,0.2,1.95,1.15,4.5,0.0,7.8,26.0,7.5,5.5,9.2,8.53,28.4,3,offsite_15pct_small_shop
POD matte poster 12x16 (Printify avg),pod_print,30.0,0.2,1.95,1.15,3.6,0.0,6.9,23.0,7.5,5.5,10.1,9.41,31.4,3,offsite_12pct_large_shop
POD matte poster 12x16 (Printify avg),pod_print,30.0,0.2,1.95,1.15,0.72,0.0,4.02,13.4,7.5,5.5,12.98,12.2,40.7,3,blended_20pct_orders_offsite
POD matte poster 18x24,pod_print,43.0,0.2,2.79,1.54,0.0,0.0,4.54,10.5,11.0,7.5,19.97,18.81,43.7,3,no_offsite
POD matte poster 18x24,pod_print,43.0,0.2,2.79,1.54,6.45,0.0,10.98,25.5,11.0,7.5,13.52,12.55,29.2,3,offsite_15pct_small_shop
POD matte poster 18x24,pod_print,43.0,0.2,2.79,1.54,5.16,0.0,9.7,22.5,11.0,7.5,14.8,13.81,32.1,3,offsite_12pct_large_shop
POD matte poster 18x24,pod_print,43.0,0.2,2.79,1.54,1.03,0.0,5.57,12.9,11.0,7.5,18.93,17.81,41.4,3,blended_20pct_orders_offsite
POD framed poster 16x20,pod_print,81.0,0.2,5.27,2.68,0.0,0.0,8.14,10.1,34.0,12.0,26.86,23.94,29.6,3,no_offsite
POD framed poster 16x20,pod_print,81.0,0.2,5.27,2.68,12.15,0.0,20.3,25.1,34.0,12.0,14.7,12.28,15.2,3,offsite_15pct_small_shop
POD framed poster 16x20,pod_print,81.0,0.2,5.27,2.68,9.72,0.0,17.86,22.1,34.0,12.0,17.14,14.61,18.0,3,offsite_12pct_large_shop
POD framed poster 16x20,pod_print,81.0,0.2,5.27,2.68,1.94,0.0,10.09,12.5,34.0,12.0,24.91,22.07,27.3,3,blended_20pct_orders_offsite
POD canvas 16x20,pod_print,79.0,0.2,5.13,2.62,0.0,0.0,7.96,10.1,36.0,14.0,21.05,18.2,23.0,3,no_offsite
POD canvas 16x20,pod_print,79.0,0.2,5.13,2.62,11.85,0.0,19.8,25.1,36.0,14.0,9.2,6.83,8.6,3,offsite_15pct_small_shop
POD canvas 16x20,pod_print,79.0,0.2,5.13,2.62,9.48,0.0,17.44,22.1,36.0,14.0,11.56,9.1,11.5,3,offsite_12pct_large_shop
POD canvas 16x20,pod_print,79.0,0.2,5.13,2.62,1.9,0.0,9.85,12.5,36.0,14.0,19.15,16.38,20.7,3,blended_20pct_orders_offsite
POD canvas 24x36,pod_print,139.0,0.2,9.04,4.42,0.0,0.0,13.65,9.8,62.0,22.0,41.34,36.33,26.1,3,no_offsite
POD canvas 24x36,pod_print,139.0,0.2,9.04,4.42,20.85,0.0,34.5,24.8,62.0,22.0,20.5,16.32,11.7,3,offsite_15pct_small_shop
POD canvas 24x36,pod_print,139.0,0.2,9.04,4.42,16.68,0.0,30.34,21.8,62.0,22.0,24.66,20.32,14.6,3,offsite_12pct_large_shop
POD canvas 24x36,pod_print,139.0,0.2,9.04,4.42,3.34,0.0,16.99,12.2,62.0,22.0,38.01,33.13,23.8,3,blended_20pct_orders_offsite
Metal calligraphy wall art 24in (in-house laser/CNC),metal,120.0,0.2,7.8,3.85,0.0,0.0,11.85,9.9,28.0,18.0,62.15,59.99,50.0,25,no_offsite
Metal calligraphy wall art 24in (in-house laser/CNC),metal,120.0,0.2,7.8,3.85,18.0,0.0,29.85,24.9,28.0,18.0,44.15,42.35,35.3,25,offsite_15pct_small_shop
Metal calligraphy wall art 24in (in-house laser/CNC),metal,120.0,0.2,7.8,3.85,14.4,0.0,26.25,21.9,28.0,18.0,47.75,45.88,38.2,25,offsite_12pct_large_shop
Metal calligraphy wall art 24in (in-house laser/CNC),metal,120.0,0.2,7.8,3.85,2.88,0.0,14.73,12.3,28.0,18.0,59.27,57.16,47.6,25,blended_20pct_orders_offsite
Metal calligraphy wall art 36in,metal,220.0,0.2,14.3,6.85,0.0,0.0,21.35,9.7,55.0,32.0,111.65,107.68,48.9,35,no_offsite
Metal calligraphy wall art 36in,metal,220.0,0.2,14.3,6.85,33.0,0.0,54.35,24.7,55.0,32.0,78.65,75.34,34.2,35,offsite_15pct_small_shop
Metal calligraphy wall art 36in,metal,220.0,0.2,14.3,6.85,26.4,0.0,47.75,21.7,55.0,32.0,85.25,81.81,37.2,35,offsite_12pct_large_shop
Metal calligraphy wall art 36in,metal,220.0,0.2,14.3,6.85,5.28,0.0,26.63,12.1,55.0,32.0,106.37,102.5,46.6,35,blended_20pct_orders_offsite
Metal calligraphy wall art 48in,metal,380.0,0.2,24.7,11.65,0.0,0.0,36.55,9.6,95.0,55.0,193.45,186.58,49.1,45,no_offsite
Metal calligraphy wall art 48in,metal,380.0,0.2,24.7,11.65,57.0,0.0,93.55,24.6,95.0,55.0,136.45,130.72,34.4,45,offsite_15pct_small_shop
Metal calligraphy wall art 48in,metal,380.0,0.2,24.7,11.65,45.6,0.0,82.15,21.6,95.0,55.0,147.85,141.89,37.3,45,offsite_12pct_large_shop
Metal calligraphy wall art 48in,metal,380.0,0.2,24.7,11.65,9.12,0.0,45.67,12.0,95.0,55.0,184.33,177.64,46.7,45,blended_20pct_orders_offsite
Ramadan wooden tabletop decor (handmade),handmade_decor,52.0,0.2,3.38,1.81,0.0,0.0,5.39,10.4,12.0,8.0,26.61,25.68,49.4,20,no_offsite
Ramadan wooden tabletop decor (handmade),handmade_decor,52.0,0.2,3.38,1.81,7.8,0.0,13.19,25.4,12.0,8.0,18.81,18.03,34.7,20,offsite_15pct_small_shop
Ramadan wooden tabletop decor (handmade),handmade_decor,52.0,0.2,3.38,1.81,6.24,0.0,11.63,22.4,12.0,8.0,20.37,19.56,37.6,20,offsite_12pct_large_shop
Ramadan wooden tabletop decor (handmade),handmade_decor,52.0,0.2,3.38,1.81,1.25,0.0,6.64,12.8,12.0,8.0,25.36,24.45,47.0,20,blended_20pct_orders_offsite
Personalised nikkah / Eid gift frame,handmade_gift,61.0,0.2,3.97,2.08,0.0,0.0,6.25,10.2,14.0,8.0,32.76,31.66,51.9,25,no_offsite
Personalised nikkah / Eid gift frame,handmade_gift,61.0,0.2,3.97,2.08,9.15,0.0,15.39,25.2,14.0,8.0,23.61,22.69,37.2,25,offsite_15pct_small_shop
Personalised nikkah / Eid gift frame,handmade_gift,61.0,0.2,3.97,2.08,7.32,0.0,13.56,22.2,14.0,8.0,25.44,24.49,40.1,25,offsite_12pct_large_shop
Personalised nikkah / Eid gift frame,handmade_gift,61.0,0.2,3.97,2.08,1.46,0.0,7.71,12.6,14.0,8.0,31.29,30.23,49.5,25,blended_20pct_orders_offsite
