shop,lifetime_sales,admirers,rating,reviews,years_on_etsy_or_since,location,primary_products,source_url,provenance
IslamicWallArtStore,31430,5934,,6018,since 2019,California US,metal/wood/acrylic/stone/canvas wall art; Ramadan & Eid section,https://www.etsy.com/shop/IslamicWallArtStore,google snippet
islamicgiftsfavors,29327,,,,since 2021,Istanbul TR,nikkah/wedding favors; prayer mats; tasbih sets,https://www.etsy.com/shop/islamicgiftsfavors,google snippet
IslamicMetalWallArt,19872,4152,5.0,,,New Jersey US,metal wall art; clocks; Ramadan decoration; glass wall art,https://www.etsy.com/shop/IslamicMetalWallArt,google snippet (older snippet showed 12787)
IslamicWallArtDecor,9560,2076,5.0,,,Texas US,canvas; metal; tempered glass,https://www.etsy.com/shop/IslamicWallArtDecor,google snippet
IslamicArtPrintables,6999,781,5.0,,,London UK,194 digital products: dua cards; wall art; Eid/Ramadan; kids,https://www.etsy.com/shop/IslamicArtPrintables,google snippet
BreatheIslamicArt,4400,776,4.9,1300,3 years,,metal wall art sets; clocks; key holders,https://www.etsy.com/shop/BreatheIslamicArt,google snippet (also seen 4210)
TheQuranStore,4161,,,,since 2022,,Islamic gifts; Eid/Ramadan,https://www.etsy.com/shop/TheQuranStore,google snippet
WallArtIslamic,3672,861,4.8,854,5 years,Istanbul TR,261 items: metal wall decor 176; clocks; gifts; tabletop,https://www.etsy.com/shop/WallArtIslamic,google snippet
ArtziCulture,3328,1898,,,,,hand-painted canvas; stone art; framed,https://www.etsy.com/shop/ArtziCulture,google snippet
AdornYourWallsShop,2401,268,,,,,121 poster items: sets 36; prints 80,https://www.etsy.com/shop/AdornYourWallsShop,google snippet
NuqtaCalligraphyShop,2200,,4.8,210,5 years,England UK,127 items: downloadable prints; posters,https://www.etsy.com/shop/NuqtaCalligraphyShop,google snippet
PeacefulArtsUk,2126,434,,,,UK,Islamic canvas; frames; wedding signs,https://www.etsy.com/shop/PeacefulArtsUk,google snippet
BestIslamicGifts,2068,445,,447,,Florida US,metal wall art; calligraphy decor,https://www.etsy.com/shop/BestIslamicGifts,google snippet
HafsaCreates,1798,1756,,,,Toronto CA,greeting cards; card kits; custom gifts,https://www.etsy.com/shop/HafsaCreates,google snippet
Hidayahartprints,1500,,4.9,,3 years,UK,205 items: digital 78; art prints 61,https://www.etsy.com/shop/Hidayahartprints,google snippet
SalehaArt,1452,1435,,,,Toronto CA,poster/canvas prints of paintings,https://www.etsy.com/shop/SalehaArt,google snippet
IslamicArabicDecor,1436,562,,,,Chicago US,106 items: carved wood wall art; tabletop; Ramadan & Eid,https://www.etsy.com/shop/IslamicArabicDecor,google snippet
DaysofEid,1405,,,,since 2017,,Eid decorations; string lights,https://www.etsy.com/shop/DaysofEid,google snippet
SNAmetal,712,,5.0,,,,metal art incl Ayatul Kursi,https://www.etsy.com/shop/SNAmetal,google snippet
MiniatureArtsByPinar,634,1585,,,,,canvas oil; Quran calligraphy,https://www.etsy.com/shop/MiniatureArtsByPinar,google snippet
alsaffarstudio,373,789,,,,,prints; oil paintings,https://www.etsy.com/shop/alsaffarstudio,google snippet
Islamicgiftandfavour,362,,,,,London UK,Ramadan/Eid gifts & decor,https://www.etsy.com/shop/Islamicgiftandfavour,google snippet
NoorMetalArt,322,75,,,,,custom metal calligraphy,https://www.etsy.com/shop/NoorMetalArt,google snippet
IslamicDecorsShop,52,20,4.8,19,2.5 years,Ottawa CA,table decor; wall art; prayer mats ($33.61-$200+),https://www.etsy.com/shop/IslamicDecorsShop,google snippet
IslamicDecorUSA,48,13,,,,,,https://www.etsy.com/shop/IslamicDecorUSA,google snippet
MihrimahIslamicArt,6,7,,,,,,https://www.etsy.com/shop/MihrimahIslamicArt,google snippet
IslamicArtKW,5,3,,,,Kuwait,calligraphy; postcards,https://www.etsy.com/shop/IslamicArtKW,google snippet
