category,representative_product,orders_per_month,monthly_revenue,etsy_fees,cogs_and_shipping,etsy_ads,fixed_costs,labour_hours,profit_before_owner_labour,profit_after_owner_labour_at_20_per_hr,net_margin_pct
digital,Digital download – Ayatul Kursi printable set,10,65,12,0,4,25,0.0,23,23,35.8
digital,Digital download – Ayatul Kursi printable set,30,195,37,0,12,25,0.0,120,120,61.5
digital,Digital download – Ayatul Kursi printable set,100,650,122,0,39,25,0.0,458,458,70.5
digital,Digital download – Ayatul Kursi printable set,300,1950,366,0,117,25,0.0,1424,1424,73.0
digital,Digital download – Ayatul Kursi printable set,1000,6500,1220,0,390,25,0.0,4805,4805,73.9
pod_print,POD matte poster 18x24,10,430,56,185,43,60,0.5,75,65,17.5
pod_print,POD matte poster 18x24,30,1290,167,555,129,60,1.5,345,315,26.8
pod_print,POD matte poster 18x24,100,4300,557,1850,430,60,5.0,1291,1191,30.0
pod_print,POD matte poster 18x24,300,12900,1671,5550,1290,60,15.0,3993,3693,31.0
pod_print,POD matte poster 18x24,1000,43000,5570,18500,4300,60,50.0,13450,12450,31.3
metal,Metal calligraphy wall art 24in (in-house laser/CNC),10,1200,147,460,96,650,4.2,-174,-258,-14.5
metal,Metal calligraphy wall art 24in (in-house laser/CNC),30,3600,442,1380,288,650,12.5,777,527,21.6
metal,Metal calligraphy wall art 24in (in-house laser/CNC),100,12000,1473,4600,960,650,41.7,4106,3273,34.2
metal,Metal calligraphy wall art 24in (in-house laser/CNC),300,36000,4419,13800,2880,650,125.0,13618,11118,37.8
metal,Metal calligraphy wall art 24in (in-house laser/CNC),1000,120000,14730,46000,9600,650,416.7,46910,38577,39.1
handmade_decor,Ramadan wooden tabletop decor (handmade),10,520,66,200,42,120,3.3,83,16,15.9
handmade_decor,Ramadan wooden tabletop decor (handmade),30,1560,199,600,125,120,10.0,489,289,31.3
handmade_decor,Ramadan wooden tabletop decor (handmade),100,5200,664,2000,416,120,33.3,1909,1242,36.7
handmade_decor,Ramadan wooden tabletop decor (handmade),300,15600,1992,6000,1248,120,100.0,5967,3967,38.2
handmade_decor,Ramadan wooden tabletop decor (handmade),1000,52000,6640,20000,4160,120,333.3,20170,13503,38.8
