sub_category,item,price_usd,list_price_usd,currency_note,seller_or_page,source_url,provenance,collected
metal,Ayatul Kursi metal wall art (sale) size S,79.30,122.00,USD,Etsy listing 950824428 area,https://www.etsy.com/market/ayatul_kursi_metal,google snippet of Etsy market page,2026-09-05
metal,Ayatul Kursi metal wall art (sale) size M,98.80,152.00,USD,Etsy market ayatul_kursi_metal,https://www.etsy.com/market/ayatul_kursi_metal,google snippet of Etsy market page,2026-09-05
metal,Ayatul Kursi metal wall art (sale) size L,144.30,222.00,USD,Etsy market ayatul_kursi_metal,https://www.etsy.com/market/ayatul_kursi_metal,google snippet of Etsy market page,2026-09-05
metal,Ayatul Kursi calligraphy metal 4-piece (30% off),109.00,155.70,USD,IslamicWallArtStore (31k Etsy sales) own site,https://islamicwallartstore.com/collections/islamic-metal-wall-art/ayatul-kursi,google snippet of seller storefront,2026-09-05
metal,Ayatul Kursi shiny metal multicolour (30% off),119.00,170.00,USD,IslamicWallArtStore own site,https://islamicwallartstore.com/products/ayatul-kursi-calligraphy-islamic-wall-art,google snippet of seller storefront,2026-09-05
metal,Tulip-shaped Ayatul Kursi metal (30% off),119.00,170.00,USD,IslamicWallArtStore own site,https://islamicwallartstore.com/collections/best-sellers/ayatul-kursi,google snippet of seller storefront,2026-09-05
metal,Ayatul Kursi mihrab & dome metal (30% off),97.00,138.60,USD,IslamicWallArtStore own site,https://islamicwallartstore.com/products/ayatul-kursi-islamic-metal-wall-art-shiny,google snippet of seller storefront,2026-09-05
metal,Set Ayatul Kursi + Falaq + Nas shiny metal (52% off),119.00,249.90,USD,IslamicWallArtStore own site,https://islamicwallartstore.com/collections/best-sellers/ayatul-kursi,google snippet of seller storefront,2026-09-05
metal_tabletop,Eid Mubarak stainless steel self-standing table art,99.00,99.00,USD,Sukar Decor own site,https://www.sukardecor.com/products/,google snippet of seller storefront,2026-09-05
metal_tabletop,Alhamdulillah modern stainless steel table art,89.00,89.00,USD,Sukar Decor own site,https://www.sukardecor.com/products/,google snippet of seller storefront,2026-09-05
metal_tabletop,Alhamdulillah stainless steel table art (2nd design),89.00,89.00,USD,Sukar Decor own site,https://www.sukardecor.com/products/,google snippet of seller storefront,2026-09-05
digital,Ramadan/Eid digital decor item (50% off promo),4.99,9.98,USD,Etsy market ramadan_eid_decor,https://www.etsy.com/market/ramadan_eid_decor,google snippet of Etsy market page,2026-09-05
mixed_shop_range,IslamicDecorsShop lowest priced item,33.61,33.61,USD,IslamicDecorsShop (Ottawa),https://www.etsy.com/shop/IslamicDecorsShop,google snippet of Etsy shop page,2026-09-05
mixed_shop_range,IslamicDecorsShop upper price band,200.00,200.00,USD (shown as $200+),IslamicDecorsShop (Ottawa),https://www.etsy.com/shop/IslamicDecorsShop,google snippet of Etsy shop page,2026-09-05
gift_uk,UK Islamic gift shop lowest item,12.20,12.20,GBP 9.56 converted at 1.276,Etsy UK market islamic_gift_shop,https://www.etsy.com/uk/market/islamic_gift_shop,google snippet of Etsy UK market page,2026-09-05
gift_uk,UK Islamic gift shop highest item,127.00,127.00,GBP 99.52 converted at 1.276,Etsy UK market islamic_gift_shop,https://www.etsy.com/uk/market/islamic_gift_shop,google snippet of Etsy UK market page,2026-09-05
gift_uk,Personalised nikkah frame price floor (UK),25.50,25.50,GBP <20 converted at 1.276,Etsy UK market islam_wedding_frame,https://www.etsy.com/uk/market/islam_wedding_frame,google snippet of Etsy UK market page,2026-09-05
gift_uk,Personalised nikkah frame / hamper ceiling (UK),127.60,127.60,GBP >100 converted at 1.276,Etsy UK market islam_wedding_frame,https://www.etsy.com/uk/market/islam_wedding_frame,google snippet of Etsy UK market page,2026-09-05
ramadan_decor,Handmade felt Ramadan garland (typical "under $25" filter band),25.00,25.00,USD ceiling of Etsy under-$25 filter,Etsy market ramadan_decoration,https://www.etsy.com/market/ramadan_decoration,google snippet of Etsy market page,2026-09-05
