shop,profile,lifetime_sales,aov_low,aov_mid,aov_high,lifetime_gmv_low,lifetime_gmv_mid,lifetime_gmv_high,years_open,years_source,annual_sales_mid,annual_gmv_mid,annual_gmv_low,annual_gmv_high,contribution_margin,annual_contribution_mid,lifetime_contribution_mid
IslamicWallArtStore,metal,31430,85,105,130,2671550,3300150,4085900,7.0,snippet,4490,471450,381650,583700,0.47,221582,1551070
IslamicMetalWallArt,metal,19872,85,105,130,1689120,2086560,2583360,4.0,assumed,4968,521640,422280,645840,0.47,245171,980683
islamicgiftsfavors,favors,29327,25,35,50,733175,1026445,1466350,5.0,snippet,5865,205289,146635,293270,0.45,92380,461900
IslamicWallArtDecor,metal,9560,85,105,130,812600,1003800,1242800,4.0,assumed,2390,250950,203150,310700,0.47,117946,471786
BreatheIslamicArt,metal,4400,85,105,130,374000,462000,572000,3.0,snippet,1467,154000,124667,190667,0.47,72380,217140
WallArtIslamic,metal,3672,85,105,130,312120,385560,477360,5.0,snippet,734,77112,62424,95472,0.47,36243,181213
BestIslamicGifts,metal,2068,85,105,130,175780,217140,268840,4.0,assumed,517,54285,43945,67210,0.47,25514,102056
ArtziCulture,prints,3328,30,45,80,99840,149760,266240,4.0,assumed,832,37440,24960,66560,0.35,13104,52416
TheQuranStore,favors,4161,25,35,50,104025,145635,208050,4.0,snippet,1040,36409,26006,52012,0.45,16384,65536
AdornYourWallsShop,prints,2401,30,45,80,72030,108045,192080,4.0,assumed,600,27011,18008,48020,0.35,9454,37816
PeacefulArtsUk,prints,2126,30,45,80,63780,95670,170080,4.0,assumed,532,23918,15945,42520,0.35,8371,33484
SNAmetal,metal,712,85,105,130,60520,74760,92560,4.0,assumed,178,18690,15130,23140,0.47,8784,35137
IslamicArabicDecor,decor,1436,35,50,70,50260,71800,100520,4.0,assumed,359,17950,12565,25130,0.45,8078,32310
DaysofEid,decor,1405,35,50,70,49175,70250,98350,9.0,snippet,156,7806,5464,10928,0.45,3512,31612
Hidayahartprints,prints,1500,30,45,80,45000,67500,120000,3.0,snippet,500,22500,15000,40000,0.35,7875,23625
SalehaArt,prints,1452,30,45,80,43560,65340,116160,4.0,assumed,363,16335,10890,29040,0.35,5717,22869
HafsaCreates,favors,1798,25,35,50,44950,62930,89900,4.0,assumed,450,15732,11238,22475,0.45,7080,28318
IslamicArtPrintables,digital,6999,5,7,12,34995,48993,83988,4.0,assumed,1750,12248,8749,20997,0.8,9799,39194
NoorMetalArt,metal,322,85,105,130,27370,33810,41860,4.0,assumed,80,8452,6842,10465,0.47,3973,15891
MiniatureArtsByPinar,prints,634,30,45,80,19020,28530,50720,4.0,assumed,158,7132,4755,12680,0.35,2496,9986
alsaffarstudio,prints,373,30,45,80,11190,16785,29840,4.0,assumed,93,4196,2798,7460,0.35,1469,5875
NuqtaCalligraphyShop,digital,2200,5,7,12,11000,15400,26400,5.0,snippet,440,3080,2200,5280,0.8,2464,12320
Islamicgiftandfavour,favors,362,25,35,50,9050,12670,18100,4.0,assumed,90,3168,2262,4525,0.45,1425,5702
IslamicDecorsShop,mixed,52,30,60,100,1560,3120,5200,2.5,snippet,21,1248,624,2080,0.42,524,1310
IslamicDecorUSA,decor,48,35,50,70,1680,2400,3360,4.0,assumed,12,600,420,840,0.45,270,1080
MihrimahIslamicArt,prints,6,30,45,80,180,270,480,4.0,assumed,2,68,45,120,0.35,24,94
IslamicArtKW,prints,5,30,45,80,150,225,400,4.0,assumed,1,56,38,100,0.35,20,79
